"","year","country","catches","value","revenue"
"1",1997,"FSM",9750,100.441444,NA
"2",1997,"KIR",8144,244.895255,NA
"3",1997,"MHL",1820,0.326006,NA
"4",1997,"NRU",7,33.549692,NA
"5",1997,"PNG",546,206.272821,NA
"6",1997,"PLW",919,2.357142,NA
"7",1997,"SLB",4441,51.259611,NA
"8",1997,"TKL",0,0.124538,NA
"9",1997,"TUV",0,8.390741,NA
"10",1998,"FSM",9634,83.241829,NA
"11",1998,"KIR",6977,160.362854,NA
"12",1998,"MHL",2021,88.877464,NA
"13",1998,"NRU",0,55.157254,NA
"14",1998,"PNG",627,179.706674,NA
"15",1998,"PLW",713,0,NA
"16",1998,"SLB",3392,174.21021,NA
"17",1998,"TKL",0,2.076475,NA
"18",1998,"TUV",605,44.579995,NA
"19",1999,"FSM",10085,147.74909,NA
"20",1999,"KIR",10066,111.806024,NA
"21",1999,"MHL",4476,20.874938,NA
"22",1999,"NRU",0,43.320735,NA
"23",1999,"PNG",678,83.511056,NA
"24",1999,"PLW",1825,0.116169,NA
"25",1999,"SLB",2132,20.976024,NA
"26",1999,"TKL",0,1.521604,NA
"27",1999,"TUV",185,27.004087,NA
"28",2000,"FSM",9771,86.717252,NA
"29",2000,"KIR",12790,89.439893,NA
"30",2000,"MHL",2047,15.990211,NA
"31",2000,"NRU",11,49.029239,NA
"32",2000,"PNG",1189,180.999939,NA
"33",2000,"PLW",2070,0.058504,NA
"34",2000,"SLB",1677,4.106557,NA
"35",2000,"TKL",0,3.708376,NA
"36",2000,"TUV",1215,25.779146,NA
"37",2001,"FSM",6683,78.828719,NA
"38",2001,"KIR",13118,231.641812,NA
"39",2001,"MHL",4037,33.251163,NA
"40",2001,"NRU",13,59.345629,NA
"41",2001,"PNG",2175,139.852725,NA
"42",2001,"PLW",1740,0,NA
"43",2001,"SLB",655,28.106159,NA
"44",2001,"TKL",0,0.952164,NA
"45",2001,"TUV",587,17.65613,NA
"46",2002,"FSM",3733,70.681715,NA
"47",2002,"KIR",11766,283.885655,NA
"48",2002,"MHL",2281,25.567311,NA
"49",2002,"NRU",7,104.84535,NA
"50",2002,"PNG",2198,153.75117,NA
"51",2002,"PLW",814,0,NA
"52",2002,"SLB",3280,8.306012,NA
"53",2002,"TKL",0,5.504159,NA
"54",2002,"TUV",1043,23.45001,NA
"55",2003,"FSM",7067,164.411486,NA
"56",2003,"KIR",6122,68.271689,NA
"57",2003,"MHL",3246,3.340817,NA
"58",2003,"NRU",20,17.240588,NA
"59",2003,"PNG",2996,339.387656,NA
"60",2003,"PLW",1206,3.381247,NA
"61",2003,"SLB",3937,43.821927,NA
"62",2003,"TKL",0,0.066399,NA
"63",2003,"TUV",235,3.032169,NA
"64",2004,"FSM",5073,144.598531,NA
"65",2004,"KIR",11730,88.981055,NA
"66",2004,"MHL",2293,14.246853,NA
"67",2004,"NRU",3,59.762663,NA
"68",2004,"PNG",4399,325.830366,NA
"69",2004,"PLW",1484,4.754325,NA
"70",2004,"SLB",5151,104.924296,NA
"71",2004,"TKL",0,0.967667,NA
"72",2004,"TUV",904,18.561615,NA
"73",2005,"FSM",6278,213.853296,NA
"74",2005,"KIR",4421,198.350714,NA
"75",2005,"MHL",2238,17.452428,NA
"76",2005,"NRU",0,48.861302,NA
"77",2005,"PNG",3715,326.432008,NA
"78",2005,"PLW",2951,2.374446,NA
"79",2005,"SLB",4836,90.043905,NA
"80",2005,"TKL",0,4.287674,NA
"81",2005,"TUV",1106,13.299474,NA
"82",2006,"FSM",6556,201.633389,NA
"83",2006,"KIR",6154,162.112346,NA
"84",2006,"MHL",2862,15.068581,NA
"85",2006,"NRU",0,56.506352,NA
"86",2006,"PNG",4284,463.797967,NA
"87",2006,"PLW",4618,4.904595,NA
"88",2006,"SLB",11814,113.578047,NA
"89",2006,"TKL",0,1.081892,NA
"90",2006,"TUV",69,14.616776,NA
"91",2007,"FSM",5586,210.964469,NA
"92",2007,"KIR",9108,247.230842,NA
"93",2007,"MHL",3667,17.937967,NA
"94",2007,"NRU",0,91.105264,NA
"95",2007,"PNG",3973,677.718776,NA
"96",2007,"PLW",3321,0.67795,NA
"97",2007,"SLB",12304,149.374243,NA
"98",2007,"TKL",0,1.199049,NA
"99",2007,"TUV",1892,57.739634,NA
"100",2008,"FSM",4674,245.199649,17
"101",2008,"KIR",8011,401.584087,27.5
"102",2008,"MHL",2825,44.199441,NA
"103",2008,"NRU",0,110.890539,10.3
"104",2008,"PNG",3298,879.36349,45.7
"105",2008,"PLW",3668,8.010492,1
"106",2008,"SLB",15856,216.461124,18.3
"107",2008,"TKL",169,6.735461,1.1
"108",2008,"TUV",694,69.196749,7.2
"109",2009,"FSM",4185,159.209638,20
"110",2009,"KIR",15954,353.147874,22
"111",2009,"MHL",3387,15.792522,NA
"112",2009,"NRU",0,74.494081,6.8
"113",2009,"PNG",4042,605.624492,31.1
"114",2009,"PLW",1228,1.516909,1.4
"115",2009,"SLB",21604,147.350229,15.3
"116",2009,"TKL",0,8.552071,1.1
"117",2009,"TUV",1159,74.3074,7.2
"118",2010,"FSM",3046,209.378298,17.7
"119",2010,"KIR",11517,235.105973,38.4
"120",2010,"MHL",3808,22.780505,NA
"121",2010,"NRU",86,144.695456,12.1
"122",2010,"PNG",3097,1023.24479,55.1
"123",2010,"PLW",2577,0.532257,1.1
"124",2010,"SLB",19348,213.760348,19.1
"125",2010,"TKL",0,5.11261,1
"126",2010,"TUV",2856,83.112369,6.6
"127",2011,"FSM",4338,290.637349,18.7
"128",2011,"KIR",12231,334.418885,30.3
"129",2011,"MHL",4154,38.022515,NA
"130",2011,"NRU",163,179.061328,14.1
"131",2011,"PNG",2935,1163.915306,62.1
"132",2011,"PLW",2898,0,1.7
"133",2011,"SLB",15250,286.398449,23.5
"134",2011,"TKL",490,32.648311,1.2
"135",2011,"TUV",1717,98.57678,5.9
"136",2012,"FSM",4707,396.038415,26.3
"137",2012,"KIR",16759,1159.074039,60.6
"138",2012,"MHL",4873,51.195427,NA
"139",2012,"NRU",214,110.586207,13.3
"140",2012,"PNG",4306,1284.464902,71.3
"141",2012,"PLW",3164,1.809383,1.5
"142",2012,"SLB",18307,169.138049,22.6
"143",2012,"TKL",773,43.108951,3.1
"144",2012,"TUV",2281,141.575856,8.7
"145",2013,"FSM",2855,426.657952,34.9
"146",2013,"KIR",11854,586.630305,85.4
"147",2013,"MHL",4245,84.062272,NA
"148",2013,"NRU",162,342.810699,13.1
"149",2013,"PNG",1350,1234.863505,84.3
"150",2013,"PLW",3104,0.54165,3.4
"151",2013,"SLB",18238,233.027636,23.4
"152",2013,"TKL",1,33.378569,6.4
"153",2013,"TUV",2718,109.356017,15.4
"154",2014,"FSM",6602,212.457647,47.4
"155",2014,"KIR",24492,1040.01616,127.3
"156",2014,"MHL",5467,114.107419,NA
"157",2014,"NRU",277,265.70575,18
"158",2014,"PNG",1978,547.244765,92
"159",2014,"PLW",2199,6.503193,4.6
"160",2014,"SLB",30298,92.152742,29
"161",2014,"TKL",153,37.577831,9.1
"162",2014,"TUV",1917,139.141361,15.4
"163",2015,"FSM",4345,226.637382,65.1
"164",2015,"KIR",24051,767.926078,148.8
"165",2015,"MHL",3430,42.143575,NA
"166",2015,"NRU",0,86.348194,21.7
"167",2015,"PNG",1584,262.651384,81.5
"168",2015,"PLW",1261,0.252128,7.9
"169",2015,"SLB",30809,132.423747,39.5
"170",2015,"TKL",3047,55.818258,12
"171",2015,"TUV",1596,97.060118,21
"172",2016,"FSM",1698,310.216639,63.2
"173",2016,"KIR",12894,607.481883,118.3
"174",2016,"MHL",4349,128.904355,NA
"175",2016,"NRU",0,195.165834,27.8
"176",2016,"PNG",896,490.71157,128.8
"177",2016,"PLW",2295,5.985125,6.8
"178",2016,"SLB",12780,251.794167,41.6
"179",2016,"TKL",3727,7.92263,13.3
"180",2016,"TUV",6057,145.38295,23.4
