"mmsi","treated","gear","flag"
9102875,FALSE,"drifting_longlines",""
36764000,TRUE,"purse_seines",""
224523000,TRUE,"purse_seines","ESP"
224651000,TRUE,"purse_seines","ESP"
224782000,FALSE,"purse_seines","ESP"
303137000,TRUE,"purse_seines","USA"
338013000,TRUE,"purse_seines","USA"
338074000,FALSE,"purse_seines","USA"
338394000,FALSE,"purse_seines","USA"
338622000,TRUE,"purse_seines","USA"
338712000,TRUE,"purse_seines","USA"
345050700,FALSE,"purse_seines","MEX"
350107000,TRUE,"purse_seines","NIC"
365878412,TRUE,"purse_seines",""
366020000,FALSE,"purse_seines","USA"
366827000,TRUE,"purse_seines","USA"
367179000,FALSE,"purse_seines","USA"
367359220,TRUE,"purse_seines","USA"
367463000,TRUE,"purse_seines","USA"
367571490,FALSE,"drifting_longlines","USA"
367767000,FALSE,"purse_seines","USA"
368489000,TRUE,"purse_seines","USA"
412209233,FALSE,"drifting_longlines","CHN"
412209234,FALSE,"drifting_longlines","CHN"
412270001,FALSE,"drifting_longlines","CHN"
412328729,FALSE,"purse_seines","CHN"
412328731,FALSE,"purse_seines","CHN"
412329416,FALSE,"drifting_longlines","CHN"
412331027,FALSE,"drifting_longlines","CHN"
412331031,FALSE,"drifting_longlines","CHN"
412331032,FALSE,"drifting_longlines","CHN"
412331033,TRUE,"drifting_longlines","CHN"
412370007,TRUE,"drifting_longlines","CHN"
412370008,FALSE,"drifting_longlines","CHN"
412371178,FALSE,"drifting_longlines","CHN"
412371179,TRUE,"drifting_longlines","CHN"
412371181,FALSE,"purse_seines","CHN"
412371182,FALSE,"purse_seines","CHN"
412371191,FALSE,"drifting_longlines","CHN"
412371192,FALSE,"drifting_longlines","CHN"
412371194,TRUE,"purse_seines","CHN"
412371197,FALSE,"drifting_longlines","CHN"
412371198,FALSE,"drifting_longlines","CHN"
412420197,FALSE,"drifting_longlines","CHN"
412420239,FALSE,"drifting_longlines","CHN"
412420435,FALSE,"drifting_longlines","CHN"
412420582,TRUE,"drifting_longlines","CHN"
412420584,TRUE,"drifting_longlines","CHN"
412420585,TRUE,"drifting_longlines","CHN"
412420796,FALSE,"drifting_longlines","CHN"
412420848,FALSE,"drifting_longlines","CHN"
412420851,FALSE,"drifting_longlines","CHN"
412420862,FALSE,"drifting_longlines","CHN"
412420892,TRUE,"drifting_longlines","CHN"
412420905,FALSE,"drifting_longlines","CHN"
412420911,FALSE,"drifting_longlines","CHN"
412420914,FALSE,"drifting_longlines","CHN"
412420915,FALSE,"drifting_longlines","CHN"
412439605,FALSE,"purse_seines","CHN"
412460278,FALSE,"drifting_longlines","CHN"
412674190,FALSE,"drifting_longlines","CHN"
412676580,FALSE,"drifting_longlines","CHN"
412695550,FALSE,"drifting_longlines","CHN"
412695560,FALSE,"drifting_longlines","CHN"
412695580,FALSE,"drifting_longlines","CHN"
412695630,FALSE,"drifting_longlines","CHN"
412695640,TRUE,"drifting_longlines","CHN"
412695650,FALSE,"drifting_longlines","CHN"
412696240,FALSE,"purse_seines","CHN"
412926000,FALSE,"purse_seines","CHN"
412985000,TRUE,"drifting_longlines","CHN"
413032000,TRUE,"purse_seines","CHN"
413034000,FALSE,"purse_seines","CHN"
413224000,TRUE,"purse_seines","CHN"
413278000,TRUE,"purse_seines","CHN"
413298000,FALSE,"purse_seines","CHN"
416000179,TRUE,"drifting_longlines","TWN"
416001500,FALSE,"purse_seines","TWN"
416002195,FALSE,"drifting_longlines","TWN"
416002374,FALSE,"drifting_longlines","TWN"
416002545,FALSE,"drifting_longlines","TWN"
416002596,TRUE,"drifting_longlines","TWN"
416002681,FALSE,"drifting_longlines","TWN"
416002768,FALSE,"drifting_longlines","TWN"
416003074,FALSE,"drifting_longlines","TWN"
416003089,FALSE,"drifting_longlines","TWN"
416003561,FALSE,"drifting_longlines","TWN"
416003709,TRUE,"drifting_longlines","TWN"
416003756,TRUE,"drifting_longlines","TWN"
416003803,TRUE,"drifting_longlines","TWN"
416003822,FALSE,"drifting_longlines","TWN"
416003854,TRUE,"drifting_longlines","TWN"
416004043,FALSE,"drifting_longlines","TWN"
416004073,FALSE,"drifting_longlines","TWN"
416004242,TRUE,"drifting_longlines","TWN"
416004246,FALSE,"drifting_longlines","TWN"
416004248,FALSE,"drifting_longlines","TWN"
416004369,FALSE,"drifting_longlines","TWN"
416004409,TRUE,"drifting_longlines","TWN"
416004453,FALSE,"drifting_longlines","TWN"
416004501,TRUE,"drifting_longlines","TWN"
416004502,TRUE,"drifting_longlines","TWN"
